Filename,Model,Processing Time (seconds),Average Confidence
abbive CARE Enrollment confirmation.pdf,TesseractOCR,6.55,82.17
abbive CARE Enrollment confirmation.pdf,SuryaOCR,287.96,81.90
abbive CARE Enrollment confirmation.pdf,EasyOCR,46.72,66.41
AJOVY Appt Reminder.pdf,TesseractOCR,3.95,80.75
AJOVY Appt Reminder.pdf,SuryaOCR,244.59,80.06
AJOVY Appt Reminder.pdf,EasyOCR,55.79,47.80
Dermatology DLQ1.pdf,TesseractOCR,3.65,84.78
Dermatology DLQ1.pdf,SuryaOCR,434.29,77.76
Dermatology DLQ1.pdf,EasyOCR,48.65,69.82
Dynacare Histolgy Report.pdf,TesseractOCR,4.15,78.31
Dynacare Histolgy Report.pdf,SuryaOCR,281.95,77.44
Dynacare Histolgy Report.pdf,EasyOCR,51.14,67.01
Dynacare Lab Result_001.pdf,TesseractOCR,4.17,78.56
Dynacare Lab Result_001.pdf,SuryaOCR,254.09,84.98
Dynacare Lab Result_001.pdf,EasyOCR,51.43,71.99
Humber RIver PATH result.pdf,TesseractOCR,3.24,75.56
Humber RIver PATH result.pdf,SuryaOCR,371.60,80.96
Humber RIver PATH result.pdf,EasyOCR,47.92,47.24
Limited Use Authorization Form.pdf,TesseractOCR,4.84,70.53
Limited Use Authorization Form.pdf,SuryaOCR,257.20,84.21
Limited Use Authorization Form.pdf,EasyOCR,53.80,36.25
MSH Pathology Result 3 pgs.pdf,TesseractOCR,8.98,74.07
MSH Pathology Result 3 pgs.pdf,SuryaOCR,39345.40,83.39
MSH Pathology Result 3 pgs.pdf,EasyOCR,137.79,37.98
Pfizer FLEX appt reminder.pdf,TesseractOCR,2.95,72.99
Pfizer FLEX appt reminder.pdf,SuryaOCR,171.44,81.84
Pfizer FLEX appt reminder.pdf,EasyOCR,41.57,60.30
Private Office Appt Confirmation.pdf,TesseractOCR,2.45,83.11
Private Office Appt Confirmation.pdf,SuryaOCR,121.78,88.73
Private Office Appt Confirmation.pdf,EasyOCR,37.91,68.10
Sunnybrook Referral confirmation.pdf,TesseractOCR,3.07,86.30
Sunnybrook Referral confirmation.pdf,SuryaOCR,118.46,78.77
Sunnybrook Referral confirmation.pdf,EasyOCR,41.57,46.41
UHN Referral Form.pdf,TesseractOCR,4.00,72.63
UHN Referral Form.pdf,SuryaOCR,338.29,85.85
UHN Referral Form.pdf,EasyOCR,46.20,54.43
Western Appt Confirmation.pdf,TesseractOCR,2.59,82.89
Western Appt Confirmation.pdf,SuryaOCR,129.68,82.00
Western Appt Confirmation.pdf,EasyOCR,38.65,36.51
Ypeti TODAY Approval form.pdf,TesseractOCR,2.77,61.00
Ypeti TODAY Approval form.pdf,SuryaOCR,150.23,79.51
Ypeti TODAY Approval form.pdf,EasyOCR,41.26,36.57
